title,code,location,price,characteristics,img
Arriendo de Apartamento en Medellín,AA-74574," Florida nueva, Medellín",$2.400.000,48 Metros|1 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74574-1.jpg
Arriendo de Apartamento en Medellín,AA-74553," Loma del indio, Medellín",$3.400.000,75 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74569," La asomadera, Medellín",$3.000.000,50 Metros|2 Baños|1 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74568," Florida nueva, Medellín",$2.900.000,60 Metros|1 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74566," Cataluña, Medellín",$1.500.000,80 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74565," Los balsos, Medellín",$3.500.000,69 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74563," El campestre la frontera, Medellín",$3.600.000,77 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74562," Santa maría de los ángeles, Medellín",$4.000.000,120 Metros|3 Baños|4 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74562-1.jpg
Arriendo de Apartamento en Medellín,AA-74557," El nogal los almendros, Medellín",$2.800.000,75 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74557-1.jpg
Arriendo de Apartamento en Medellín,AA-74556," San lucas, Medellín",$5.200.000,71 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74556-1.jpg
Arriendo de Apartamento en Medellín,AA-74555," La florida, Medellín",$5.000.000,170 Metros|4 Baños|4 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74555-1.jpg
Arriendo de Apartamento en Medellín,AA-74540," Laureles, Medellín",$2.700.000,110 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74540-1.jpg
Arriendo de Apartamento en Medellín,AA-74532," Calasanz, Medellín",$1.900.000,68 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74532-1.jpg
Arriendo de Apartamento en Medellín,AA-74530," San benito, Medellín",$1.700.000,45 Metros|1 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74530-1.jpg
Arriendo de Apartamento en Medellín,AA-74526," Simón bolívar, Medellín",$3.000.000,103 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74526-1.jpg
Arriendo de Apartamento en Medellín,AA-74504," Calasanz, Medellín",$3.300.000,76 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74504-1.jpg
Arriendo de Apartamento en Medellín,AA-71861," Laureles, Medellín",$3.000.000,128 Metros|3 Baños|4 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-71861-1.jpg
Arriendo de Apartamento en Medellín,AA-74513," Villa hermosa, Medellín",$1.650.000,81 Metros|- Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74513-1.jpg
Arriendo de Apartamento en Medellín,AA-74512," La loma de los bernal, Medellín",$4.800.000,110 Metros|3 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74512-1.jpg
Arriendo de Apartamento en Medellín,AA-74511," El poblado, Medellín",$5.500.000,140 Metros|3 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74506," La visitacion los gonzalez, Medellín",$5.100.000,110 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74505," Los balsos, Medellín",$4.600.000,95 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74501," Los colores, Medellín",$2.500.000,58 Metros|2 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
